Date,Close,High,Low,Open,Volume
2021-08-27,1027.94,1035.03,1022.71,1032.38,10480636
2021-08-30,1047.72,1050.3,1032.28,1038.37,14027062
2021-08-31,1042.14,1053.95,1034.8,1050.79,26485463
2021-09-01,1046.27,1058.17,1044.37,1048.99,11145486
2021-09-02,1058.87,1065.05,1040.68,1040.68,9956770
2021-09-03,1102.29,1105.29,1062.6,1066.06,30664428
2021-09-06,1119.41,1144.52,1113.14,1113.6,33641710
2021-09-07,1126.47,1134.37,1113.14,1121.44,17349882
2021-09-08,1122.07,1132.52,1110.67,1131.6,14301651
2021-09-09,1119.41,1125.07,1115.03,1120.48,8963249
2021-09-13,1094.47,1122.83,1092.85,1122.83,16311160
2021-09-14,1093.04,1104.83,1091.91,1096.06,8908356
2021-09-15,1097.59,1105.64,1093.06,1093.06,9071075
2021-09-16,1120.61,1124.56,1092.37,1099.08,13448882
2021-09-17,1103.24,1133.37,1096.34,1128.83,34882133
2021-09-20,1104.99,1116.07,1093.75,1094.72,11779819
2021-09-21,1109.77,1115.26,1100.22,1109.91,9915736
2021-09-22,1121.68,1126.98,1106.79,1111.29,10995912
2021-09-23,1149.09,1152.37,1128.6,1129.47,15748397
2021-09-24,1145.77,1156.26,1140.83,1155.39,15192163
2021-09-27,1165.03,1167.55,1142.35,1147.75,15373834
2021-09-28,1175.92,1183.7,1159.66,1169.44,18035258
2021-09-29,1166.6,1186.05,1163.0,1186.05,9719875
2021-09-30,1162.63,1169.72,1153.91,1165.29,13590654
2021-10-01,1164.69,1172.12,1151.44,1154.65,8958928
2021-10-04,1179.66,1188.29,1170.85,1178.21,10918552
2021-10-05,1204.15,1205.44,1175.6,1179.18,13533634
2021-10-06,1181.37,1209.11,1177.33,1209.11,10258881
2021-10-07,1187.16,1199.32,1184.99,1197.59,6336665
2021-10-08,1232.78,1238.85,1191.36,1193.09,15772493
2021-10-11,1224.2,1255.28,1220.83,1246.7,14768666
2021-10-12,1231.19,1238.2,1218.94,1220.67,6682011
2021-10-13,1243.72,1255.05,1231.88,1236.36,9959762
2021-10-14,1246.23,1254.1,1240.14,1246.21,8623469
2021-10-18,1249.56,1266.82,1228.65,1231.56,13594479
2021-10-19,1260.75,1269.75,1249.74,1257.03,8833409
2021-10-20,1246.23,1265.78,1242.13,1265.78,12710570
2021-10-21,1210.28,1258.97,1201.38,1258.69,20831669
2021-10-22,1212.54,1229.85,1205.21,1209.13,11027475
2021-10-25,1200.73,1236.82,1186.05,1236.82,17198417
2021-10-26,1228.07,1231.7,1201.35,1207.79,9750178
2021-10-27,1212.54,1235.34,1209.11,1223.9,9896298
2021-10-28,1199.25,1217.41,1195.52,1209.13,9886181
2021-10-29,1170.48,1198.12,1154.53,1198.12,14233025
2021-11-01,1171.19,1179.59,1151.03,1170.48,15481114
2021-11-02,1154.12,1175.9,1151.56,1174.52,10569130
2021-11-03,1146.18,1162.98,1135.75,1156.54,11989430
2021-11-04,1153.22,1156.01,1149.13,1150.5,1705656
2021-11-08,1154.65,1162.98,1133.63,1162.7,20337183
2021-11-09,1163.76,1167.09,1147.77,1156.06,15682497
2021-11-10,1176.78,1180.52,1155.43,1161.46,10253470
2021-11-11,1178.92,1186.29,1170.16,1172.23,10722478
2021-11-12,1196.72,1199.32,1180.06,1182.78,8712341
2021-11-15,1189.65,1200.91,1186.05,1199.9,4803269
2021-11-16,1162.01,1188.36,1151.44,1187.0,11337581
2021-11-17,1137.14,1153.27,1135.75,1153.27,10202029
2021-11-18,1141.43,1148.67,1130.7,1135.29,8505625
2021-11-22,1090.87,1130.21,1084.99,1124.26,24124307
2021-11-23,1101.07,1108.18,1065.6,1076.7,25326999
2021-11-24,1085.17,1112.17,1081.55,1098.37,16820296
2021-11-25,1150.5,1154.67,1087.82,1095.14,42401936
2021-11-26,1113.41,1143.41,1108.29,1138.89,15763138
2021-11-29,1126.75,1153.75,1107.18,1125.64,24325354
2021-11-30,1110.09,1142.63,1102.45,1138.98,32172299
2021-12-01,1138.52,1141.75,1119.18,1122.83,10104610
2021-12-02,1145.83,1152.0,1136.03,1139.77,12720411
2021-12-03,1111.41,1153.06,1107.6,1153.01,19222481
2021-12-06,1090.34,1119.14,1087.82,1114.98,10332254
2021-12-07,1099.22,1109.45,1089.14,1096.59,11235122
2021-12-08,1115.95,1122.28,1110.51,1118.72,8744178
2021-12-09,1133.65,1142.17,1119.14,1123.75,13213547
2021-12-10,1134.81,1138.06,1121.61,1126.17,8364414
2021-12-13,1112.05,1141.8,1109.45,1141.52,12901733
2021-12-14,1098.44,1110.37,1095.32,1098.37,12991523
2021-12-15,1095.23,1109.91,1089.65,1100.22,9366969
2021-12-16,1109.4,1114.75,1093.13,1110.23,9761279
2021-12-17,1080.12,1111.29,1070.68,1106.7,21049821
2021-12-20,1051.0,1069.69,1037.04,1069.69,14325846
2021-12-21,1066.64,1082.68,1057.85,1066.69,12836561
2021-12-22,1091.95,1094.63,1071.6,1072.94,17658543
2021-12-23,1091.56,1098.37,1088.24,1095.6,9072401
2021-12-24,1095.05,1103.91,1078.78,1093.75,7886494
2021-12-27,1093.87,1097.45,1083.65,1089.85,4017223
2021-12-28,1106.86,1109.84,1095.16,1096.34,6374613
2021-12-29,1108.75,1116.37,1099.34,1103.45,15425312
2021-12-30,1088.72,1109.88,1082.49,1107.6,29333171
2021-12-31,1092.9,1100.17,1089.14,1095.14,9477290
2022-01-03,1109.38,1111.27,1090.78,1091.45,5421611
2022-01-04,1134.41,1135.75,1109.45,1114.94,10847728
2022-01-05,1139.72,1143.14,1122.81,1136.21,11643813
2022-01-06,1115.21,1132.52,1111.75,1131.23,14447422
2022-01-07,1124.21,1134.39,1112.93,1121.88,13112115
2022-01-10,1125.14,1133.91,1115.01,1131.6,9246731
2022-01-11,1133.24,1142.19,1123.75,1124.21,16205164
2022-01-12,1163.49,1165.26,1137.6,1140.5,14800442
2022-01-13,1170.04,1172.67,1157.63,1163.56,11856712
2022-01-14,1171.75,1184.81,1165.68,1169.9,19930176
2022-01-17,1177.86,1183.75,1170.83,1171.29,8036453
2022-01-18,1163.81,1182.52,1161.02,1179.02,6215029
2022-01-19,1163.72,1173.13,1157.9,1167.59,9755485
2022-01-20,1143.34,1158.34,1132.98,1153.77,16494486
2022-01-21,1143.53,1154.79,1131.6,1131.6,13338594
2022-01-24,1097.4,1155.94,1086.88,1142.21,21868937
2022-01-25,1095.25,1102.36,1063.76,1084.32,24510205
2022-01-27,1079.03,1087.34,1066.55,1078.06,20020431
2022-01-28,1077.99,1096.48,1074.56,1091.45,14667727
2022-01-31,1101.42,1110.55,1087.39,1089.23,12143683
